2024-08-30 10:25:24 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:25:24 - {'A1': 2.75272869873196, 'phi1': -3.0005600544880004, 'A2': 2.4116101475980427, 'phi2': 0.23589005584001704, 'mean': -0.014485323559352597}
2024-08-30 10:25:24 - {'A1_std': 0.06332412467133136, 'phi1_std': 0.022048732281633638, 'A2_std': 0.061985996233669585, 'phi2_std': 0.025886116298151213, 'mean_std': 0.005933211088487521}
2024-08-30 10:25:26 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:25:26 - {'A1': 1.4013204409580104, 'phi1': 3.405833388349731, 'A2': 1.4046132937870122, 'phi2': 0.6387054629519506, 'mean': 0.07753747967757774}
2024-08-30 10:25:26 - {'A1_std': 0.03340548892278102, 'phi1_std': 0.02179164398812354, 'A2_std': 0.03413198454556505, 'phi2_std': 0.02130554682293103, 'mean_std': 0.0030614579208299198}
2024-08-30 10:25:28 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:25:28 - {'A1': 0.3121414309693295, 'phi1': 2.6685018600881807, 'A2': 0.3133544379869514, 'phi2': -0.05912601182613171, 'mean': 0.008929754608805615}
2024-08-30 10:25:28 - {'A1_std': 0.019507303178540252, 'phi1_std': 0.07440481344777031, 'A2_std': 0.020287229934696335, 'phi2_std': 0.07234250304788267, 'mean_std': 0.002051689357128549}
2024-08-30 10:25:30 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:25:30 - {'A1': 2.145243963739669, 'phi1': -3.2595933769255083, 'A2': 1.8490459377231845, 'phi2': 6.302114248025338, 'mean': 0.053129510730362324}
2024-08-30 10:25:30 - {'A1_std': 0.09117435656696654, 'phi1_std': 0.04520334081188214, 'A2_std': 0.09026712240254889, 'phi2_std': 0.053190795996293484, 'mean_std': 0.009003099894471622}
2024-08-30 10:25:32 - {'freq': '70-150', 'ant': 2, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:25:32 - {'A1': 1.9160052320531669, 'phi1': -3.015613993985194, 'A2': 1.4864661037229756, 'phi2': 0.4164905235130938, 'mean': 0.13707932186356078}
2024-08-30 10:25:32 - {'A1_std': 0.048624312858256476, 'phi1_std': 0.024473821848733264, 'A2_std': 0.049316928706941626, 'phi2_std': 0.03124807300205562, 'mean_std': 0.0045690626943919845}
2024-08-30 10:25:34 - {'freq': '70-150', 'ant': 2, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:25:34 - {'A1': 1.1395651159306739, 'phi1': -2.5982362651756543, 'A2': 1.1889441625648551, 'phi2': 0.5921357592120204, 'mean': -0.08252257103585049}
2024-08-30 10:25:34 - {'A1_std': 0.031211181604880622, 'phi1_std': 0.02300816671144698, 'A2_std': 0.030561392819281174, 'phi2_std': 0.022840431903926466, 'mean_std': 0.002757286200507501}
2024-08-30 10:25:47 - -
2024-08-30 10:26:05 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:26:05 - {'A1': 2.75272869873196, 'phi1': -3.0005600544880004, 'A2': 2.4116101475980427, 'phi2': 0.23589005584001704, 'mean': -0.014485323559352597}
2024-08-30 10:26:05 - {'A1_std': 0.06332412467133136, 'phi1_std': 0.022048732281633638, 'A2_std': 0.061985996233669585, 'phi2_std': 0.025886116298151213, 'mean_std': 0.005933211088487521}
2024-08-30 10:26:05 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:26:05 - {'A1': 1.4013204409580104, 'phi1': 3.405833388349731, 'A2': 1.4046132937870122, 'phi2': 0.6387054629519506, 'mean': 0.07753747967757774}
2024-08-30 10:26:05 - {'A1_std': 0.03340548892278102, 'phi1_std': 0.02179164398812354, 'A2_std': 0.03413198454556505, 'phi2_std': 0.02130554682293103, 'mean_std': 0.0030614579208299198}
2024-08-30 10:26:06 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:26:06 - {'A1': 0.3121414309693295, 'phi1': 2.6685018600881807, 'A2': 0.3133544379869514, 'phi2': -0.05912601182613171, 'mean': 0.008929754608805615}
2024-08-30 10:26:06 - {'A1_std': 0.019507303178540252, 'phi1_std': 0.07440481344777031, 'A2_std': 0.020287229934696335, 'phi2_std': 0.07234250304788267, 'mean_std': 0.002051689357128549}
2024-08-30 10:26:06 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:26:06 - {'A1': 2.145243963739669, 'phi1': -3.2595933769255083, 'A2': 1.8490459377231845, 'phi2': 6.302114248025338, 'mean': 0.053129510730362324}
2024-08-30 10:26:06 - {'A1_std': 0.09117435656696654, 'phi1_std': 0.04520334081188214, 'A2_std': 0.09026712240254889, 'phi2_std': 0.053190795996293484, 'mean_std': 0.009003099894471622}
2024-08-30 10:26:07 - {'freq': '70-150', 'ant': 2, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:26:07 - {'A1': 1.9160052320531669, 'phi1': -3.015613993985194, 'A2': 1.4864661037229756, 'phi2': 0.4164905235130938, 'mean': 0.13707932186356078}
2024-08-30 10:26:07 - {'A1_std': 0.048624312858256476, 'phi1_std': 0.024473821848733264, 'A2_std': 0.049316928706941626, 'phi2_std': 0.03124807300205562, 'mean_std': 0.0045690626943919845}
2024-08-30 10:26:07 - {'freq': '70-150', 'ant': 2, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-26'}
2024-08-30 10:26:07 - {'A1': 1.1395651159306739, 'phi1': -2.5982362651756543, 'A2': 1.1889441625648551, 'phi2': 0.5921357592120204, 'mean': -0.08252257103585049}
2024-08-30 10:26:07 - {'A1_std': 0.031211181604880622, 'phi1_std': 0.02300816671144698, 'A2_std': 0.030561392819281174, 'phi2_std': 0.022840431903926466, 'mean_std': 0.002757286200507501}
2024-08-30 10:26:09 - -
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 0, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 3.7157846095229443, 'phi1': -1.1775377281467991, 'A2': 3.680818098892439, 'phi2': 2.1419291381214527, 'mean': 0.0407634117681881}
2024-08-30 10:26:46 - {'A1_std': 0.4113330576950159, 'phi1_std': 0.11803801711370797, 'A2_std': 0.40564683102123633, 'phi2_std': 0.12093856860729889, 'mean_std': 0.007624523195745787}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 0, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 4.703258549742587, 'phi1': 0.9585196809810393, 'A2': 4.51450499698328, 'phi2': -2.115842717924173, 'mean': 0.0656947127888231}
2024-08-30 10:26:46 - {'A1_std': 0.3022276394957345, 'phi1_std': 0.052121072843289054, 'A2_std': 0.30206796621096355, 'phi2_std': 0.05456037277261655, 'mean_std': 0.004933913796988751}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 1, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 2.4693514940600454, 'phi1': 0.6543008126458731, 'A2': 2.412163207759113, 'phi2': 3.89269084834076, 'mean': -0.002099238733423697}
2024-08-30 10:26:46 - {'A1_std': 0.1429617911556257, 'phi1_std': 0.04955169268277686, 'A2_std': 0.14300723987717234, 'phi2_std': 0.0509043570221129, 'mean_std': 0.0023858493882313735}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 1, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 1.665502138951038, 'phi1': -1.1989729891056715, 'A2': 1.6850275842397555, 'phi2': 2.1650184199564717, 'mean': 0.04339085428811633}
2024-08-30 10:26:46 - {'A1_std': 0.5047746484198617, 'phi1_std': 0.32040078643607395, 'A2_std': 0.4932620561430215, 'phi2_std': 0.3240476865040362, 'mean_std': 0.009314175583337157}
2024-08-30 10:26:46 - {'freq': '70-150', 'ant': 2, 'pol': 0, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
2024-08-30 10:26:46 - {'A1': 5.022474683795244, 'phi1': -1.6454030891518534, 'A2': 5.186606503723464, 'phi2': 1.6810766275535856, 'mean': 0.1910566223099913}
2024-08-30 10:26:46 - {'A1_std': 0.41468678664755865, 'phi1_std': 0.07309888302130835, 'A2_std': 0.40941079464184543, 'phi2_std': 0.07220257215093488, 'mean_std': 0.0070224214694561355}
2024-08-30 10:26:47 - {'freq': '70-150', 'ant': 2, 'pol': 1, 'init_time': '2024-01-05', 'final_time': '2024-01-09'}
